groupflag,mathperson1,mathperson2,mathperson3,mathperson4,dislikemathclass,pursuestem,boysbetter,learnrace,racegroups,knowrace,connectrace1,affectrace,proudrace,mixrace,unclearrace,connectrace2,dontknowrace,belongrace,understandrace,talkrace,priderace,avoidrace,practicerace,playotherrace,strongrace,enjoyotherrace,feelrace,racediscrimination,academicability_peers,mathability_peers,activities,deciderules,makeadiff,adultcares,adultnotices,adultlistens,adultpraise,adultmybest,adultmysuccess,mtchmematter,mtchlowerstandards,mtchraceexpect,mtchtalkrace,mtchignorerace,mtchvalues,mtchrespect,mtchfair,mtchsuccess,mtchmistakesok,mtchbiased,mtchmadeinteresting,mtchgenderbias,mtchmadeeasy,mtchrace,mtchrace2,mtchgender,mathcourse,mathnoadv,mathbad,mathpersistence,mathboring,mathgrades,mathimpt,peerbelief,mtchbelief,mtchdiscriminate,stereotype_asian,stereotype_white,stereotype_latino,stereotype_black,school_asian,school_white,school_latino,school_black,closerace,belongrace,raceidentity,raceaffects,raceproud,racehappy,raceunhappy,raceaffects2,racefriends,myracegood,age,sex,race,primarylanguage,primarylanguage1,flag_birthplace,flag_birthplace_text,gradelevel,collegetype,highesteducation,mothereducation
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,2,1,4,1,1,3,3,3,3,2,3,3,2,3,2,3,2,2,3,2,1,,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,1,1,,1,,6,3,1,9
1,4,4,4,4,1,4,1,2,3,3,4,4,3,,2,3,2,2,3,2,1,1,2,2,1,4,2,1,1,1,2,1,2,3,3,4,2,4,3,1,1,1,1,1,4,4,4,4,4,1,3,1,3,6,,1,,1,1,4,1,3,4,1,2,1,2,2,3,3,2,2,2,2,3,3,1,1,1,1,1,1,2,3,22,1,6,1,,1,,8,3,5,8
1,4,4,4,4,1,4,1,1,1,1,4,3,3,1,3,3,4,2,2,2,3,1,2,3,2,3,2,2,1,1,3,3,3,3,,4,2,2,3,1,1,1,,1,4,4,4,4,4,1,4,1,4,6,,2,Calculus 4,1,1,4,1,3,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,20,2,6,3,Farsi (Persian),2,Iran,6,2,5,5
1,4,4,4,4,1,3,3,4,4,4,4,1,4,3,2,3,1,2,1,1,1,1,4,4,3,3,4,4,2,2,4,1,2,2,2,2,2,2,2,1,1,1,1,1,4,4,4,4,4,1,3,1,3,6,,1,,1,1,2,1,4,4,1,1,1,2,2,3,3,2,3,3,4,4,4,1,1,3,3,1,1,1,1,20,1,6,1,,1,,8,3,5,6
1,1,2,2,1,3,2,1,4,2,4,3,3,3,3,1,2,1,,1,3,4,1,2,2,2,3,2,3,3,4,1,1,1,3,1,2,2,2,2,1,1,1,2,2,2,2,3,3,3,1,2,1,2,4,,1,203v hybrid,2,3,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,3,2,2,4,1,3,3,4,30,2,3,1,,1,,6,2,4,3
1,4,3,4,4,1,3,1,3,1,3,3,3,4,1,1,1,1,3,3,3,4,1,4,3,4,3,4,2,3,3,1,2,1,2,2,2,2,2,2,1,1,1,1,2,3,3,3,3,3,1,3,1,2,4,,1,math 203,2,1,2,2,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,19,2,4,1,,1,,6,2,3,5
1,2,1,1,1,3,1,1,2,1,3,4,2,4,1,1,4,1,3,3,3,3,1,2,2,2,4,4,3,3,4,1,2,2,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,3,1,2,4,,1,,4,3,2,2,2,3,3,2,1,1,2,3,4,1,2,3,4,3,2,1,1,4,4,1,1,1,2,26,1,4,1,,2,mexico,8,2,4,1
1,1,1,1,2,2,1,2,1,3,3,4,3,4,1,2,3,2,3,3,4,3,1,3,3,3,3,3,4,3,3,3,1,1,2,2,3,2,3,3,1,1,1,3,1,3,3,3,3,3,1,3,1,3,4,,1,Math203,2,3,2,3,2,3,2,2,1,1,2,3,4,2,2,2,2,3,3,3,3,3,3,1,1,1,3,22,1,1,3,Vietamese,1,,7,2,1,9
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,4,3,1,1,1,3,3,3,4,2,3,1,3,1,1,3,2,4,3,1,2,3,2,4,3,4,3,2,2,1,2,4,3,4,3,4,4,1,1,1,1,1,4,4,4,4,3,1,4,1,4,3,,1,MATH-1-30834-S17,1,1,3,1,3,4,3,1,1,2,2,2,2,2,2,2,2,2,1,1,3,2,2,3,2,2,1,18,2,1,1,,1,,5,2,5,4
